timestamp,uplink_counter,ldr_value,intensity,rssi,snr,gateway_id,MY_ID,bateria,latitude,longitude,altitude
2026-04-18 15:39:59,2,3601,Claro,-48,9,bbc-itatiba-gw1,3,0.52,-22.999782,-46.819428,785
2026-04-18 15:42:01,3,3533,Claro,-52,10,bbc-itatiba-gw1,3,0.42,-22.999782,-46.819428,785
2026-04-18 15:44:03,4,3527,Claro,-50,9,bbc-itatiba-gw1,3,0.42,-22.999782,-46.819428,785
2026-04-18 15:46:05,5,3516,Claro,-48,9,bbc-itatiba-gw1,3,0.47,-22.999782,-46.819428,785
2026-04-18 15:48:08,6,3461,Claro,-55,9,bbc-itatiba-gw1,3,0.41,-22.999782,-46.819428,785
2026-04-18 15:50:10,7,3420,Claro,-56,9,bbc-itatiba-gw1,3,0.53,-22.999782,-46.819428,785
2026-04-18 15:52:12,8,3405,Claro,-53,9,bbc-itatiba-gw1,3,0.46,-22.999782,-46.819428,785
2026-04-18 15:54:14,9,3381,Claro,-52,9,bbc-itatiba-gw1,3,0.41,-22.999782,-46.819428,785
2026-04-18 15:56:16,10,3350,Claro,-50,9,bbc-itatiba-gw1,3,0.48,-22.999782,-46.819428,785
2026-04-18 15:58:18,11,3330,Claro,-55,9,bbc-itatiba-gw1,3,0.48,-22.999782,-46.819428,785
2026-04-18 16:00:21,12,2914,Claro,-50,9,bbc-itatiba-gw1,3,0.4,-22.999782,-46.819428,785
2026-04-18 16:02:23,13,3185,Claro,-58,9,bbc-itatiba-gw1,3,0.4,-22.999782,-46.819428,785
2026-04-18 16:04:25,14,3355,Claro,-53,10,bbc-itatiba-gw1,3,0.41,-22.999782,-46.819428,785
2026-04-18 16:06:27,15,307,Escuro,-53,9,bbc-itatiba-gw1,3,0.42,-22.999782,-46.819428,785
2026-04-18 16:08:29,16,318,Escuro,-53,9,bbc-itatiba-gw1,3,0.35,-22.999782,-46.819428,785
2026-04-18 16:10:31,17,304,Escuro,-52,9,bbc-itatiba-gw1,3,0.29,-22.999782,-46.819428,785
2026-04-18 16:12:34,18,316,Escuro,-49,9,bbc-itatiba-gw1,3,0.29,-22.999782,-46.819428,785
2026-04-18 16:14:36,19,283,Escuro,-58,9,bbc-itatiba-gw1,3,0.29,-22.999782,-46.819428,785
2026-04-18 16:16:38,20,273,Escuro,-51,10,bbc-itatiba-gw1,3,0.4,-22.999782,-46.819428,785
2026-04-18 16:18:40,21,272,Escuro,-52,10,bbc-itatiba-gw1,3,0.29,-22.999782,-46.819428,785
2026-04-18 16:19:04,1,271,Escuro,-79,9,aaf-itatiba-gw3,3,0.39,-22.999782,-46.819428,785
2026-04-18 16:21:06,2,132,Muito Escuro,-58,9,bbc-itatiba-gw1,3,0.32,-22.999782,-46.819428,785
2026-04-18 16:23:08,3,30,Muito Escuro,-58,9,bbc-itatiba-gw1,3,0.32,-22.999782,-46.819428,785
2026-04-18 16:25:11,4,139,Muito Escuro,-58,9,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 16:27:13,5,128,Muito Escuro,-58,9,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 16:29:15,6,130,Muito Escuro,-58,12,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 16:31:17,7,133,Muito Escuro,-58,10,bbc-itatiba-gw1,3,0.34,-22.999782,-46.819428,785
2026-04-18 16:33:19,8,124,Muito Escuro,-59,9,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 16:35:22,9,115,Muito Escuro,-58,9,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 16:37:24,10,0,Muito Escuro,-63,9,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 16:39:26,11,0,Muito Escuro,-63,9,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 16:41:28,12,0,Muito Escuro,-64,9,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 16:43:30,13,0,Muito Escuro,-63,10,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 16:45:32,14,0,Muito Escuro,-63,9,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 16:47:35,15,0,Muito Escuro,-63,10,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 16:49:37,16,0,Muito Escuro,-63,9,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 16:51:39,17,0,Muito Escuro,-63,9,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 16:53:41,18,0,Muito Escuro,-64,10,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 16:55:43,19,0,Muito Escuro,-77,9,aaf-itatiba-gw3,3,0.33,-22.999782,-46.819428,785
2026-04-18 16:57:45,20,0,Muito Escuro,-63,10,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 16:59:48,21,0,Muito Escuro,-63,9,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 17:01:50,22,0,Muito Escuro,-63,9,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 17:03:52,23,0,Muito Escuro,-63,10,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 17:05:54,24,0,Muito Escuro,-77,9,aaf-itatiba-gw3,3,0.33,-22.999782,-46.819428,785
2026-04-18 17:07:56,25,0,Muito Escuro,-63,9,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 17:09:58,26,0,Muito Escuro,-62,10,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 17:12:01,27,0,Muito Escuro,-62,10,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 17:14:03,28,0,Muito Escuro,-63,10,bbc-itatiba-gw1,3,0.32,-22.999782,-46.819428,785
2026-04-18 17:16:05,29,0,Muito Escuro,-64,10,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 17:18:07,30,0,Muito Escuro,-63,9,bbc-itatiba-gw1,3,0.32,-22.999782,-46.819428,785
2026-04-18 17:20:09,31,0,Muito Escuro,-63,9,bbc-itatiba-gw1,3,0.32,-22.999782,-46.819428,785
2026-04-18 17:22:11,32,0,Muito Escuro,-63,10,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 17:24:14,33,0,Muito Escuro,-63,10,bbc-itatiba-gw1,3,0.32,-22.999782,-46.819428,785
2026-04-18 17:26:16,34,0,Muito Escuro,-63,10,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 17:28:18,35,0,Muito Escuro,-63,10,bbc-itatiba-gw1,3,0.32,-22.999782,-46.819428,785
2026-04-18 17:30:20,36,0,Muito Escuro,-63,9,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 17:32:22,37,0,Muito Escuro,-64,12,bbc-itatiba-gw1,3,0.32,-22.999782,-46.819428,785
2026-04-18 17:34:24,38,0,Muito Escuro,-75,10,aaf-itatiba-gw3,3,0.32,-22.999782,-46.819428,785
2026-04-18 17:36:27,39,0,Muito Escuro,-63,10,bbc-itatiba-gw1,3,0.32,-22.999782,-46.819428,785
2026-04-18 17:38:29,40,0,Muito Escuro,-63,9,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 17:40:31,41,0,Muito Escuro,-61,9,bbc-itatiba-gw1,3,0.32,-22.999782,-46.819428,785
2026-04-18 17:42:33,42,0,Muito Escuro,-62,10,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 17:44:35,43,0,Muito Escuro,-61,9,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
2026-04-18 17:46:37,44,0,Muito Escuro,-60,10,bbc-itatiba-gw1,3,0.32,-22.999782,-46.819428,785
2026-04-18 17:48:40,45,0,Muito Escuro,-63,9,bbc-itatiba-gw1,3,0.32,-22.999782,-46.819428,785
2026-04-18 17:50:42,46,0,Muito Escuro,-59,9,bbc-itatiba-gw1,3,0.32,-22.999782,-46.819428,785
2026-04-18 17:52:44,47,0,Muito Escuro,-62,9,bbc-itatiba-gw1,3,0.32,-22.999782,-46.819428,785
2026-04-18 17:54:46,48,0,Muito Escuro,-62,10,bbc-itatiba-gw1,3,0.32,-22.999782,-46.819428,785
2026-04-18 17:56:48,49,0,Muito Escuro,-62,9,bbc-itatiba-gw1,3,0.32,-22.999782,-46.819428,785
2026-04-18 17:58:51,50,0,Muito Escuro,-61,9,bbc-itatiba-gw1,3,0.32,-22.999782,-46.819428,785
2026-04-18 18:00:53,51,0,Muito Escuro,-61,9,bbc-itatiba-gw1,3,0.32,-22.999782,-46.819428,785
2026-04-18 18:02:55,52,0,Muito Escuro,-60,9,bbc-itatiba-gw1,3,0.33,-22.999782,-46.819428,785
